,no,tProfit,ave(%),,,
631,9934,-0.01,-0.06,0,,
632,1235,-0.02,-0.1,0,,
633,1307,-0.02,-0.52,0,,
634,1445,-0.02,-0.22,0,,
635,1460,-0.02,-0.07,0,,
636,1465,-0.02,-0.1,0,,
637,1466,-0.02,-1.1,0,,
638,1467,-0.02,-0.17,0,,
639,1504,-0.02,-0.09,0,,
640,1734,-0.02,-0.11,0,,
641,2013,-0.02,-0.1,0,,
642,2301,-0.02,-0.09,0,,
643,2359,-0.02,-0.11,0,,
644,2365,-0.02,-0.13,0,,
645,2405,-0.02,-0.08,0,,
646,2460,-0.02,-0.05,0,,
647,2465,-0.02,-0.44,0,,
648,2637,-0.02,-0.13,0,,
649,2851,-0.02,-0.27,0,,
650,2911,-0.02,-0.34,0,,
651,3017,-0.02,-0.11,0,,
652,3044,-0.02,-0.04,0,,
653,3501,-0.02,-0.07,0,,
654,4106,-0.02,-0.89,0,,
655,4190,-0.02,-0.32,0,,
656,4551,-0.02,-0.4,0,,
657,4722,-0.02,-0.12,0,,
658,4746,-0.02,-0.75,0,,
659,4934,-0.02,-0.34,0,,
660,4935,-0.02,-0.4,0,,
661,6133,-0.02,-0.11,0,,
662,6202,-0.02,-0.05,0,,
663,9908,-0.02,-0.03,0,,
664,9912,-0.02,-0.19,0,,
665,9919,-0.02,-0.06,0,,
666,9921,-0.02,-0.35,0,,
667,1110,-0.03,-0.13,0,,
668,1219,-0.03,-0.09,0,,
669,1323,-0.03,-0.31,0,,
670,1726,-0.03,-0.06,0,,
671,1727,-0.03,-0.12,0,,
672,1732,-0.03,-0.32,0,,
673,1786,-0.03,-0.24,0,,
674,1905,-0.03,-0.08,0,,
675,2106,-0.03,-0.1,0,,
676,2107,-0.03,-0.07,0,,
677,2239,-0.03,-0.26,0,,
678,2382,-0.03,-0.15,0,,
679,2417,-0.03,-0.15,0,,
680,2456,-0.03,-0.1,0,,
681,2461,-0.03,-0.12,0,,
682,2701,-0.03,-0.11,0,,
683,2722,-0.03,-2.65,0,,
684,3041,-0.03,-0.2,0,,
685,3338,-0.03,-0.24,0,,
686,3518,-0.03,-0.6,0,,
687,3588,-0.03,-0.48,0,,
688,4137,-0.03,-0.19,0,,
689,4532,-0.03,-0.21,0,,
690,4545,-0.03,-0.81,0,,
691,4555,-0.03,-0.34,0,,
692,4720,-0.03,-0.65,0,,
693,4927,-0.03,-0.14,0,,
694,6145,-0.03,-0.19,0,,
695,6282,-0.03,-0.2,0,,
696,9905,-0.03,-0.07,0,,
697,1217,-0.04,-0.14,0,,
698,1464,-0.04,-0.16,0,,
699,1513,-0.04,-0.13,0,,
700,1529,-0.04,-0.81,0,,
701,1537,-0.04,-0.14,0,,
702,1708,-0.04,-0.2,0,,
703,1725,-0.04,-0.14,0,,
704,1817,-0.04,-0.26,0,,
705,2062,-0.04,-0.17,0,,
706,2228,-0.04,-0.61,0,,
707,2368,-0.04,-0.3,0,,
708,2388,-0.04,-0.55,0,,
709,2459,-0.04,-3.93,0,,
710,2464,-0.04,-0.13,0,,
711,2481,-0.04,-0.11,0,,
712,2495,-0.04,-0.17,0,,
713,2514,-0.04,-2.11,0,,
714,3047,-0.04,-0.1,0,,
715,3057,-0.04,-0.47,0,,
716,3059,-0.04,-0.13,0,,
717,3416,-0.04,-0.49,0,,
718,3605,-0.04,-0.12,0,,
719,4133,-0.04,-0.23,0,,
720,5225,-0.04,-0.46,0,,
721,5243,-0.04,-0.09,0,,
722,6155,-0.04,-0.41,0,,
723,6168,-0.04,-0.13,0,,
724,6443,-0.04,-0.86,0,,
725,6464,-0.04,-1.81,0,,
726,6605,-0.04,-0.41,0,,
727,8033,-0.04,-0.35,0,,
728,8070,-0.04,-0.19,0,,
729,1519,-0.05,-0.61,0,,
730,1522,-0.05,-0.26,0,,
731,1724,-0.05,-0.29,0,,
732,1735,-0.05,-0.23,0,,
733,2115,-0.05,-0.41,0,,
734,2206,-0.05,-0.18,0,,
735,2395,-0.05,-0.32,0,,
736,2488,-0.05,-0.63,0,,
737,2608,-0.05,-0.34,0,,
738,2739,-0.05,-0.4,0,,
739,2936,-0.05,-0.61,0,,
740,3023,-0.05,-0.22,0,,
741,3030,-0.05,-0.42,0,,
742,3054,-0.05,-0.3,0,,
743,3494,-0.05,-1.67,0,,
744,3550,-0.05,-0.24,0,,
745,4108,-0.05,-0.41,0,,
746,4438,-0.05,-0.25,0,,
747,4552,-0.05,-0.26,0,,
