"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="6419","京晨科","14.55","0.04","0.6","-0.32","-0.19"
="6422","君耀-KY","65","1.93","2.16","0.87","1.18"
="6426","統新","88","0.37","1.47","0.99","0.84"
="6431","光麗-KY","11.65","-0.94","-2.1","-0.64","-0.64"
="6432","今展科","18.65","0.38","0.45","-0.74","0.41"
="6435","大中","124","0.9","1.28","0.76","1.05"
="6438","迅得","79.3","0.64","0.04","1.1","1.9"
="6441","廣錠","77.2","","","0.35","0.55"
="6442","光聖","42.5","0.84","1.1","0.32","0.13"
="6443","元晶","12.55","-0.48","-0.04","-0.62","-0.41"
="6446","藥華藥","151","-1.06","-1.17","-1.04","-0.94"
="6449","鈺邦","39.2","0.72","1.04","0.16","0.73"
="6451","訊芯-KY","136","1.57","2.39","0.54","0.57"
="6452","康友-KY","418","3.34","3.8","3.23","3.73"
="6456","GIS-KY","241","3.2","5.25","3.04","4.59"
="6457","紘康","40","0.52","0.5","0.18","0.53"
="6462","神盾","230.5","0.31","2.62","2.65","1.07"
="6464","台數科","116.5","1.55","1.17","1.48","0.98"
="6465","威潤","73.8","0.26","0.52","0.55","0.77"
="6469","大樹","85.7","0.99","1.04","0.65","0.83"
="6470","宇智","39.3","0.94","2.24","0.37","1.17"
="6472","保瑞","33.6","0.35","0.4","0.13","0.05"
="6477","安集","23.3","-0.81","0.03","-0.17","0.32"
="6482","弘煜科","34.8","0.12","-0.14","0.02","0"
="6485","點序","34.1","1.19","0.15","-0.33","-0.93"
="6486","互動","49.5","0.73","1.68","0.76","0.63"
="6488","環球晶","368.5","1","-0.46","0.95","3.09"
="6492","生華科","70.9","-0.9","-1.16","-1.2","-0.95"
="6494","九齊","66.4","0.63","1.01","0.64","1.62"
="6496","科懋","79.2","1.5","1.2","1.35","1.56"
="6497","亞獅康-KY","38","","","-2.17","-2.3"
="6499","益安","96","-1.11","-1.49","-1.08","-1.17"
="6504","南六","156.5","2.01","2.5","1.84","1.56"
="6505","台塑化","106","1.75","2.39","2.37","1.27"
="6506","雙邦","21.75","0.36","0.44","0.53","0.55"
="6508","惠光","26.6","0.39","0.44","0.32","0.56"
="6509","聚和","19.25","-0.03","0.17","-0.02","0.19"
="6510","精測","1135","6.6","4.59","6.11","6.62"
="6512","啟發電","20.7","0.55","0.48","-0.04","0.22"
="6514","芮特-KY","35","0.49","0.99","0.76","0.52"
="6523","達爾膚","128","1.58","2.24","1.48","0.37"
="6525","捷敏-KY","85","1.07","1.79","1.02","1.37"
="6531","愛普","76","0.09","3.16","0.35","1.46"
="6532","瑞耘","28.4","0.31","0.54","0.09","0.54"
="6533","晶心科","118.5","-0.17","0.52","0.01","0.08"
="6535","順藥","30.4","-0.87","-0.68","-0.49","-0.72"
="6538","倉和","38.3","0.31","1.2","0.11","-0.07"
="6541","泰福-KY","84.5","","","-1.81","-1.8"
="6542","隆中","54.5","0.59","0.18","1.85","0.64"
="6548","長華科","435.5","0.29","0.47","0.08","2.94"
="6552","易華電","42.65","0.37","0.38","-0.26","0.05"
="6554","中美冠科-KY","40.25","0.65","0.61","0.13","0.42"
="6556","勝品","42.8","","","0.49","-0.32"
="6560","欣普羅","36.5","0.57","0.58","-0.95","0.29"
="6568","宏觀","183.5","2.82","2.14","2.07","2.21"
="6569","醫揚","162","1.85","4.48","1","2.16"
="6573","虹揚-KY","83.2","","","",""
="6574","霈方","132","","","1.3","2.08"
="6577","勁豐","58.3","1.03","1.48","0.73","0.81"
="6579","研揚","90.6","1.46","1.34","0.85","2.14"
="6582","申豐","51","","","0.69","1.4"
="6593","台灣銘板","57.3","","","0.71","0.85"
="6594","展匯科","36.15","","","0.37","0.39"
="6603","富強鑫","14.85","0.13","0.22","0.23","0.29"
="6605","帝寶","83.6","0.71","2.6","0.5","1.72"
="6609","瀧澤科","23.3","0","0.61","-0.42","0.63"
="6803","崑鼎","166.5","3.25","2.28","2.67","3.08"
="7402","邑錡","54.1","0.39","1.06","-0.35","0.81"
="8011","台通","20.65","0.21","0.5","0.34","0.11"
="8016","矽創","84.4","2.53","2.41","1.38","1.74"
="8021","尖點","21.85","0.45","0.46","0.39","0.32"
="8024","佑華","12.1","0.01","0.12","-0.27","0.38"
="8027","鈦昇","35","-0.35","-0.67","-0.23","-0.04"
="8032","光菱","23.05","0.52","0.73","-0.11","1.06"
="8033","雷虎","10.2","-0.21","-1.06","-0.16","-0.2"
="8034","榮群","12.45","-0.09","0.23","-0.23","0.63"
="8038","長園科","43.65","-0.58","-0.53","-1.07","-0.63"
="8039","台虹","46.45","0.67","0.92","0.48","0.94"
="8040","九暘","7.6","-0.54","-0.15","-0.23","0.02"
="8042","金山電","54.2","1.9","1.25","1.28","0.97"
="8043","蜜望實","21.7","0.12","0.7","-0.46","0.19"
="8044","網家","134","1.54","1.33","1.85","1.17"
="8046","南電","28.45","-1.43","1.2","-1.38","-0.27"
="8047","星雲","11.9","0.34","0.1","0.37","0.13"
="8048","德勝","31.3","0.43","0.87","0.26","0.6"
="8049","晶采","17.6","0.27","0.49","0.34","0.53"
="8050","廣積","54.6","1.33","0.83","0.64","0.54"
="8054","安國","20.5","-0.09","-0.17","-0.35","1.37"
="8059","凱碩","11.45","0","-0.2","-0.36","-0.45"
="8064","東捷","15.9","0.41","0.68","0.11","-0.06"
="8066","來思達","128.5","2.63","3.2","1.73","2.23"
="8067","志旭","5.73","-0.07","-2.11","0.06","-0.05"
="8068","全達","31.25","0.99","0.28","0.05","-0.02"
="8069","元太","42.2","0.45","0.79","0.14","0.71"
="8070","長華","141.5","2.25","1.76","5.22","3.12"
="8071","能率網通","20.3","-0.1","0.21","0.06","0.44"
="8072","陞泰","22.25","0.05","-0.07","-0.1","0.02"
="8074","鉅橡","27.4","0.55","0.72","0.27","0.47"
="8076","伍豐","45.6","0.36","0.13","0.03","0.2"
="8077","洛碁","22.2","-0.38","-0.83","0.12","-0.03"
="8080","奧斯特","11.95","-0.27","-0.38","-0.61","-0.35"
="8081","致新","73.6","1.17","1.53","1.01","0.92"
="8083","瑞穎","142.5","2.74","2.4","1.86","2.38"
="8084","巨虹","36.2","0.05","0.37","-0.63","0.07"
="8085","福華","5.72","1.36","-0.25","-0.19","-0.01"
="8086","宏捷科","58.4","0.17","0.38","0.43","0.59"
="8087","華鎂鑫","11.3","0.06","-0.01","0.02","0.14"
="8088","品安","21.2","0.02","0.73","-0.4","0.17"
="8091","翔名","96.6","1.17","1.23","1.26","1.38"
="8092","建暐","8.52","-0.15","-0.18","-0.12","-0.23"
="8093","保銳","7.25","0.08","-0.13","-0.27","-0.03"
="8096","擎亞","16.6","-0.71","0.73","0.06","0.47"
="8097","常珵","10.5","-0.14","-0.02","-0.14","-0.04"
="8099","大世科","20.35","0.25","0.5","0.45","0.55"
="8101","華冠","3.79","-0.91","-1.64","-0.47","0.01"
="8103","瀚荃","32.95","0.79","1.17","0.33","0.76"
="8105","凌巨","22.35","0.06","0.61","0.24","0.46"
="8107","大億金茂","49.9","0.31","-1.2","0.31","0.65"
="8109","博大","67.3","0.8","1.8","-0.11","1.77"
="8110","華東","17.25","0.22","0.67","0.13","0.19"
="8111","立碁","8.31","-0.14","0","0.01","0.04"
="8112","至上","31.9","1.1","1.22","0.86","0.94"
="8114","振樺電","134.5","1.41","3.81","1.25","2.09"
="8121","越峰","22.15","-0.48","-1.73","-0.4","0.17"
="8131","福懋科","33.95","0.67","0.62","0.52","0.65"
="8147","正淩","30","0.66","0.58","0.36","0.26"
="8150","南茂","28.25","0.3","0.71","2.82","0.38"
="8155","博智","77.1","0.65","0.98","0.73","1.43"
="8163","達方","29.15","0.6","0.57","0.3","0.51"
="8171","天宇","12.3","-1.19","0.03","-0.69","-0.28"
="8176","智捷","11","0.13","0.09","0.01","0.07"
="8182","加高","20.6","0.22","0.48","0.21","0.49"
="8183","精星","27","0.44","0.55","0.19","0.54"
="8201","無敵","14.1","-0.68","-0.34","-0.69","-0.38"
="8210","勤誠","47.15","1.12","1.55","1.04","0.87"
="8213","志超","34.05","0.85","1.11","0.55","0.69"
="8215","明基材","18.45","-1.03","0.17","0.48","0.23"
="8222","寶一","19.45","0.13","0.2","0.01","0.2"
="8234","新漢","35.2","0.25","0.64","-0.31","0.62"
="8240","華宏","21","-0.92","-4.11","0.02","-0.53"
="8249","菱光","25","1.02","0.3","0.37","0.5"
="8255","朋程","114","1.15","2.3","1.21","2.02"
="8261","富鼎","33.1","0.09","0.04","-0.27","0.12"
="8271","宇瞻","39.9","0.83","0.8","1.06","0.81"
="8277","商丞","9.66","-0.22","-0.74","-0.32","-0.15"
="8279","生展","146.5","1.6","1.15","0.97","2.12"
="8287","英格爾","12.25","0.68","0.56","-0.14","0.46"
="8289","泰藝","11.35","0.09","0.23","-0.31","0.25"
="8291","尚茂","5.25","-0.21","0","0.09","0.04"
="8299","群聯","345","7.61","7.48","6.5","8.07"
="8341","日友","217","1.28","1.66","1.35","2.3"
="8349","恒耀","123.5","1.23","1.91","1.66","1.78"
="8354","冠好","17.85","-0.04","0.64","-0.45","0.25"
="8358","金居","39.3","0.87","1.38","1.65","1.68"
="8374","羅昇","37.15","0.32","0.21","0.35","0.61"
="8383","千附","48","1.1","1.18","0.94","1.06"
="8390","金益鼎","18.65","-0.16","-0.01","-0.31","0.46"
="8401","白紗科","17.3","-0.58","0.61","0.06","0.43"
="8403","盛弘","38.1","0.55","0.27","0.32","0.64"
="8404","百和興業-KY","65.5","0.38","0.53","0.41","0.44"
="8406","金可-KY","183","5.16","3.04","4.2","1.81"
="8409","商之器","15.25","-0.46","0.14","-0.52","-0.64"
="8410","森田","37","0.59","1.35","-0.62","0.89"
="8411","福貞-KY","25.15","0.97","0.63","0.67","0.21"
="8415","大國鋼","24.05","0.13","0.15","0.23","0.43"
="8416","實威","95","1.4","3.04","1.22","2.3"
="8418","捷必勝-KY","15.8","-1.29","1.47","-1.13","-0.84"
="8420","明揚","18.3","0.24","0.65","-0.3","0.14"
="8421","旭源","16.35","0.19","0.53","-0.16","0.18"
="8422","可寧衛","173.5","3.43","2.85","3.1","3.18"
="8423","保綠-KY","19.5","0.05","0.48","0.19","0.42"
="8424","惠普","46.6","0.82","0.96","1","1.08"
="8426","紅木-KY","41.65","1.44","1.61","0.29","0.42"
="8427","基勝-KY","48.3","-1.09","0.97","2.05","-0.5"
="8429","金麗-KY","27.6","0.86","1.79","0.87","0.87"
="8431","匯鑽科","56.2","-0.45","-0.28","-0.58","-0.64"
="8432","東生華","69.9","0.06","0.2","0.33","0.49"
="8433","弘帆","78","1.57","2.1","1.01","1.8"
="8435","鉅邁","50.9","0.75","0.96","0.68","1.12"
="8436","大江","227.5","2.32","1.8","1.65","1.87"
="8437","大地-KY","180.5","2.93","2.93","2.73","2.56"
="8442","威宏-KY","67.9","0.18","0.23","-0.93","0.35"
="8443","阿瘦","13.7","-0.24","0.21","-0.58","-0.54"
="8444","綠河-KY","152","2.15","2.12","2.26","3.64"
="8446","華研","103","1.5","2.33","1.23","1.52"
="8450","霹靂","65.7","0.61","1.27","0.11","0.22"
="8454","富邦媒","201","1.81","2.07","2.21","2.52"
="8455","大拓-KY","23.2","0.59","0.24","0.74","0.49"
="8462","柏文","144","1.22","1.05","1.17","1.45"
="8463","潤泰材","17.7","0.33","0.39","0.1","0.22"
="8464","億豐","304","3.48","3.44","2.38","3.7"
="8466","美吉吉-KY","90.5","2.32","2.31","1.56","2.01"
="8467","波力-KY","35","0.61","0.55","-0.15","0.36"
="8472","夠麻吉","38.35","0.86","0.92","0.4","0.72"
="8473","山林水","59.4","0.87","1.08","1.08","0.63"
="8476","台境","40.25","0.18","0.36","0.27","0.38"
="8477","創業家","43.5","0.38","0.76","0.48","0.13"
="8480","泰昇-KY","128","2.41","2.61","1.94","1.41"
="8481","政伸","48.05","0.68","0.98","0.58","0.77"
="8488","吉源-KY","31.7","1.4","0.98","0.32","0.45"
="8489","三貝德","169.5","0.28","0.51","1.1","1.93"
="8905","裕國","17.05","1.58","1.39","0.65","0.56"
="8906","花王","6.15","0.03","-0.09","-0.1","-0.07"
="8908","欣雄","28","0.34","0.39","0.27","0.41"
="8913","全銓","117.5","1.15","-0.09","24.47","-0.01"
="8916","光隆","43.15","2.11","0.88","-6.59","1.65"
="8917","欣泰","48.2","0.34","0.23","0.4","0.59"
="8921","沈氏","13","0.12","0.15","0.05","0.04"
="8923","時報","15.05","0.22","0.33","0.18","0.2"
="8924","大田","33.7","-0.12","-0.04","-0.78","-0.83"
="8926","台汽電","23.55","0.45","0.47","0.14","0.59"
="8927","北基","11.3","-0.1","0.13","0.06","0.07"
="8928","鉅明","24.25","-0.5","0.52","0.54","0.18"
="8929","富堡","45.8","2.46","0.25","1.9","0.13"
="8930","青鋼","14.4","0.14","0.35","2.06","0.36"
="8931","大汽電","20.9","0.33","0.16","0.06","0.25"
="8932","宏大","9","-0.13","-0.3","-0.47","0.15"
="8933","愛地雅","11.3","0.14","0.37","-0.31","0.08"
="8934","衡平","35.05","0.93","1.76","0.67","-1.99"
="8935","邦泰","9.79","-0.91","-0.34","-0.05","-0.32"
="8936","國統","18.35","-0.84","-2.01","0.06","-0.34"
="8937","合騏","13.95","-0.16","0.02","-0.26","0.09"
="8938","明安","38.1","0.28","1.91","0.82","0.65"
="8940","新天地","13.8","-1.22","1.02","0.53","-0.34"
="8941","關中","69","0.99","0.39","0.26","3.04"
="8942","森鉅","63.4","1","1.69","0.1","1.57"
="8996","高力","37.8","0.7","0.82","0.04","0.17"
="9103","美德醫療-DR","1.46","","","",""
="910322","康師傅-DR","23.65","","","",""
="910482","聖馬丁-DR","0.59","","","",""
="9105","泰金寶-DR","3.05","","","",""
="910708","恒大健-DR","700","","","",""
="910801","金衛-DR","4.27","","","",""
="910861","神州-DR","8.8","","","",""
="9110","越南控-DR","3.68","","","",""
="911608","明輝-DR","2.2","","","",""
="911619","耀傑-DR","0.91","","","",""
="911622","泰聚亨-DR","11.8","","","",""
="911868","同方友友-DR","1.56","","","",""
="912000","晨訊科-DR","3.16","","","",""
="912398","友佳-DR","7.5","","","",""
="9136","巨騰-DR","10.15","","","",""
="9157","陽光能源-DR","1.35","","","",""
="9188","精熙-DR","5.09","","","",""
="9802","鈺齊-KY","76","0.84","1.66","1.92","1.7"
="9902","台火","10.05","0.04","-0.04","-0.04","0.04"
="9904","寶成","36.95","1.27","1.41","0.55","0.9"
="9905","大華","25.2","0.55","0.5","0.51","0.45"
="9906","欣巴巴","17.7","0.42","0.03","0.06","0.28"
="9907","統一實","13.5","0.16","0.13","0.13","0.07"
="9908","大台北","26","0.61","0.21","0.44","0.28"
="9910","豐泰","135.5","1.74","1.46","1.14","1.74"
="9911","櫻花","38.5","0.59","0.77","0.73","0.56"
="9912","偉聯","7.8","0","0","0.02","0"
="9914","美利達","130.5","1.67","1.77","1.01","0.49"
="9917","中保","88.9","1.03","-1.77","1.67","1.26"
="9918","欣天然","32","0.12","0.3","0.47","0.4"
="9919","康那香","11.15","0.04","-2.39","0.03","0.14"
="9921","巨大","151","1.89","1.77","1.38","1.81"
="9924","福興","38.3","1.12","1","0.51","0.81"
="9925","新保","38.6","0.72","0.44","0.44","0.82"
="9926","新海","40","0.49","0.34","0.43","0.48"
="9927","泰銘","38.7","1.01","1.36","1.21","0.88"
="9928","中視","5.78","-0.49","-1.32","-0.27","-0.81"
="9929","秋雨","10.75","-0.02","0.03","-0.05","0"
="9930","中聯資源","54.8","0.56","0.7","0.77","0.66"
="9931","欣高","31","0.16","0.36","0.42","0.5"
="9933","中鼎","45.5","0.92","0.65","0.58","1.59"
="9934","成霖","21.4","-2.41","0.35","0.4","0.75"
="9935","慶豐富","30.4","0.11","0.11","0.05","0.46"
="9937","全國","39.2","0.59","0.61","0.42","0.5"
="9938","百和","115","1.17","1.3","1.37","1.3"
="9939","宏全","52.9","1.39","0.32","1.28","1.17"
="9940","信義","35.7","0.32","0.91","0.11","1.8"
="9941","裕融","112","1.68","1.58","1.97","2.14"
="9942","茂順","87","1.37","1.58","1.12","1.76"
="9943","好樂迪","51.7","1.09","0.83","1.21","1.03"
="9944","新麗","18.65","0.02","-0.12","0.11","0.36"
="9945","潤泰新","30.85","1.67","2.13","0.33","0.79"
="9946","三發地產","11.25","0.12","0.38","0.35","0.01"
="9949","琉園","10.95","-0.28","0","-0.18","-0.16"
="9950","萬國通","14.05","-0.04","0.25","-0.45","-0.35"
="9951","皇田","167.5","2.11","2.97","2.1","2.25"
="9955","佳龍","14.2","-0.19","-1.17","-0.26","-0.39"
="9958","世紀鋼","15.7","-0.06","0.1","0.07","0.02"
="9960","邁達康","31.9","0.09","-0.78","0.18","0.22"
="9962","有益","10.25","0.09","0.34","0.46","-0.11"
