"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="2107","厚生","14.8","0.15","0.41","0","0.09"
="2108","南帝","22.15","0.25","0.33","0.37","0.27"
="2109","華豐","11.3","0.12","-0.27","0.04","0.03"
="2114","鑫永銓","88.2","1","1.61","0.24","1.27"
="2115","六暉-KY","47.8","1.07","1.19","1.16","1"
="2201","裕隆","25.45","0.37","-0.35","0.52","0.23"
="2204","中華","27.05","0.62","0.25","0.76","0.91"
="2206","三陽工業","22.4","-0.36","-0.11","0.02","0.52"
="2207","和泰車","350.5","4.69","4.66","5.75","4.08"
="2208","台船","11","-1.14","-0.63","-2.01","-1.56"
="2221","大甲","28.5","0.5","1.12","0.33","0.47"
="2227","裕日車","254","3.1","4.31","4.81","6.1"
="2228","劍麟","127","2.17","2.25","1.65","1.12"
="2230","泰茂","13.7","0.01","0.16","-0.3","-0.02"
="2231","為升","295","3.12","3.35","1.75","3.27"
="2233","宇隆","115","1.48","2.85","1.65","1.98"
="2235","謚源","111.5","1.42","1.57","0.95","1.28"
="2236","百達-KY","52.3","0.23","0.98","1.04","0.47"
="2239","英利-KY","163.5","2.27","2.45","2.25","2.27"
="2243","宏旭-KY","59.1","","","",""
="2301","光寶科","38.2","1.37","1.11","0.85","0.76"
="2302","麗正","6.08","-0.01","-0.01","-0.1","-0.05"
="2303","聯電","15.85","0.24","0.21","0.19","0.17"
="2305","全友","7.94","-0.12","0.21","-0.06","-0.03"
="2308","台達電","137","2.18","1.91","1.51","1.63"
="2311","日月光","37.15","0.72","1.04","0.33","0.97"
="2312","金寶","10.75","0.14","0.08","0.16","0.16"
="2313","華通","48.5","0.4","0.73","0.33","0.45"
="2314","台揚","34.85","0.18","0.23","0.27","0.28"
="2316","楠梓電","19.05","-0.31","0.63","-0.46","0.17"
="2317","鴻海","107.5","2","3.98","1.63","1.03"
="2321","東訊","2.84","0.05","0","-0.13","0.02"
="2323","中環","4.42","-0.22","-0.64","-0.28","-0.01"
="2324","仁寶","21.35","0.5","0.6","0.25","0.06"
="2325","矽品","47.85","0.86","0.91","0.32","0.69"
="2327","國巨","255","1.73","2.31","1.62","2.46"
="2328","廣宇","25.8","0.17","0.33","0.15","0.32"
="2329","華泰","9.31","0.09","0.01","-0.23","-0.17"
="2330","台積電","240.5","3.73","3.86","3.38","2.56"
="2331","精英","21.4","0.8","0.48","0.34","0.26"
="2332","友訊","11.45","-0.6","0.18","-0.34","-0.13"
="2337","旺宏","52","0.18","0.2","0.06","0.35"
="2338","光罩","19.8","-0.18","-0.26","-0.11","0.06"
="2340","光磊","20.25","0.53","0.32","0.34","0.3"
="2342","茂矽","15","0.01","-0.01","-0.1","0"
="2344","華邦電","28.15","0.18","0.23","0.19","0.28"
