"","No","Name"
"780","6269","台郡"
"781","6271","同欣電"
"782","6277","宏正"
"783","6278","台表科"
"784","6281","全國電"
"785","6282","康舒"
"786","6283","淳安"
"787","6285","啟碁"
"788","6289","華上"
"789","6405","悅城"
"790","6409","旭隼"
"791","6412","群電"
"792","6414","樺漢"
"793","6415","矽力-KY"
"794","6422","君耀-KY"
"795","6431","光麗-KY"
"796","6442","光聖"
"797","6443","元晶"
"798","6449","鈺邦"
"799","6451","訊芯-KY"
"800","6452","康友-KY"
"801","6456","GIS-KY"
"802","6464","台數科"
"803","6477","安集"
"804","6504","南六"
"805","6505","台塑化"
"806","6525","捷敏-KY"
"807","6531","愛普"
"808","6533","晶心科"
"809","6552","易華電"
"810","6582","申豐"
"811","6605","帝寶"
"812","8011","台通"
"813","8016","矽創"
"814","8021","尖點"
"815","8033","雷虎"
"816","8039","台虹"
"817","8046","南電"
"818","8070","長華"
"819","8072","陞泰"
"820","8081","致新"
"821","8101","華冠"
"822","8103","瀚荃"
"823","8105","凌巨"
"824","8110","華東"
"825","8112","至上"
"826","8114","振樺電"
"827","8131","福懋科"
"828","8150","南茂"
"829","8163","達方"
"830","8201","無敵"
"831","8210","勤誠"
"832","8213","志超"
"833","8215","明基材"
"834","8222","寶一"
"835","8249","菱光"
"836","8261","富鼎"
"837","8271","宇瞻"
"838","8341","日友"
"839","8374","羅昇"
"840","8404","百和興業-KY"
"841","8411","福貞-KY"
"842","8422","可寧衛"
"843","8427","基勝-KY"
"844","8429","金麗-KY"
"845","8442","威宏-KY"
"846","8443","阿瘦"
"847","8454","富邦媒"
"848","8463","潤泰材"
"849","8464","億豐"
"850","8466","美吉吉-KY"
"851","8467","波力-KY"
"852","8473","山林水"
"853","8480","泰昇-KY"
"854","8481","政伸"
"855","8488","吉源-KY"
"856","8926","台汽電"
"857","8940","新天地"
"858","8996","高力"
"859","9103","美德醫療-DR"
"860","9105","泰金寶-DR"
"861","9106","新焦點-DR"
"862","9136","巨騰-DR"
"863","9157","陽光能源-DR"
"864","9188","精熙-DR"
"865","9802","鈺齊-KY"
"866","9902","台火"
"867","9904","寶成"
"868","9905","大華"
"869","9906","欣巴巴"
"870","9907","統一實"
"871","9908","大台北"
"872","9910","豐泰"
"873","9911","櫻花"
"874","9912","偉聯"
"875","9914","美利達"
"876","9917","中保"
"877","9918","欣天然"
"878","9919","康那香"
"879","9921","巨大"
"880","9924","福興"
"881","9925","新保"
"882","9926","新海"
"883","9927","泰銘"
"884","9928","中視"
"885","9929","秋雨"
"886","9930","中聯資源"
"887","9931","欣高"
