"","No","Name"
"608","6542","隆中"
"609","6548","長華科"
"610","6554","中美冠科-KY"
"611","6560","欣普羅"
"612","6568","宏觀"
"613","6569","醫揚"
"614","6577","勁豐"
"615","6594","展匯科"
"616","6603","富強鑫"
"617","6609","瀧澤科"
"618","6803","崑鼎"
"619","7402","邑錡"
"620","8024","佑華"
"621","8027","鈦昇"
"622","8032","光菱"
"623","8034","榮群"
"624","8038","長園科"
"625","8040","九暘"
"626","8043","蜜望實"
"627","8044","網家"
"628","8047","星雲"
"629","8048","德勝"
"630","8049","晶采"
"631","8050","廣積"
"632","8054","安國"
"633","8059","凱碩"
"634","8064","東捷"
"635","8066","來思達"
"636","8067","志旭"
"637","8068","全達"
"638","8069","元太"
"639","8071","能率豐"
"640","8074","鉅橡"
"641","8076","伍豐"
"642","8077","洛碁"
"643","8080","奧斯特"
"644","8083","瑞穎"
"645","8084","巨虹"
"646","8085","福華"
"647","8086","宏捷科"
"648","8087","華鎂鑫"
"649","8088","品安"
"650","8091","翔名"
"651","8092","建暐"
"652","8093","保銳"
"653","8096","擎亞"
"654","8097","常珵"
"655","8099","大世科"
"656","8107","大億科"
"657","8109","博大"
"658","8111","立碁"
"659","8121","越峰"
"660","8147","正淩"
"661","8155","博智"
"662","8171","天宇"
"663","8176","智捷"
"664","8182","加高"
"665","8183","精星"
"666","8234","新漢"
"667","8240","華宏"
"668","8255","朋程"
"669","8277","商丞"
"670","8279","生展"
"671","8287","英格爾"
"672","8289","泰藝"
"673","8291","尚茂"
"674","8299","群聯"
"675","8349","恒耀"
"676","8354","冠好"
"677","8358","金居"
"678","8383","千附"
"679","8390","金益鼎"
"680","8401","白紗科"
"681","8403","盛弘"
"682","8406","金可-KY"
"683","8409","商之器"
"684","8410","森田"
"685","8415","大國鋼"
"686","8416","實威"
"687","8418","捷必勝-KY"
"688","8420","明揚"
"689","8421","旭源"
"690","8423","保綠-KY"
"691","8424","惠普"
"692","8426","紅木-KY"
"693","8431","匯鑽科"
"694","8432","東生華"
"695","8433","弘帆"
"696","8435","鉅邁"
"697","8436","大江"
"698","8437","大地-KY"
"699","8444","綠河-KY"
"700","8446","華研"
"701","8450","霹靂"
"702","8455","大拓-KY"
"703","8462","柏文"
"704","8476","台境"
"705","8477","創業家"
"706","8489","三貝德"
"707","8905","裕國"
"708","8906","花王"
"709","8908","欣雄"
"710","8913","全銓"
"711","8916","光隆"
"712","8917","欣泰"
"713","8921","沈氏"
"714","8923","時報"
"715","8924","大田"
"716","8927","北基"
"717","8928","鉅明"
"718","8929","富堡"
"719","8930","青鋼"
"720","8931","大汽電"
"721","8932","宏大"
"722","8933","愛地雅"
"723","8934","衡平"
"724","8935","邦泰"
"725","8936","國統"
"726","8937","合騏"
"727","8938","明安"
"728","8941","關中"
"729","8942","森鉅"
"730","9949","琉園"
"731","9950","萬國通"
"732","9951","皇田"
"733","9960","邁達康"
"734","9962","有益"
